bullwaves_user,bullwaves_id,from_affiliate_id,to_affiliate_id,comment,created_on,created_by,admin_only,affiliateid
,,2287,35060,"User moonance-1288 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",9/27/2023 7:08:36 AM,Partners,Yes,35060
,,2287,35060,"User moonance-1235 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",9/18/2023 6:30:22 AM,Partners,Yes,35060
,,2287,35060,"User moonance-1225 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",9/13/2023 1:01:33 PM,Partners,Yes,35060
,,2287,35060,"User moonance-122 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",8/28/2023 3:16:13 PM,Partners,Yes,35060
,,2287,35060,"User moonance-182 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",8/28/2023 3:15:40 PM,Partners,Yes,35060
,,2287,35060,"User moonance-1132 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",8/24/2023 9:28:11 AM,Partners,Yes,35060
,,2287,35060,"User moonance-833 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",8/21/2023 10:31:52 AM,Partners,Yes,35060
,,2287,35060,"User moonance-960 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",8/17/2023 9:14:13 AM,Partners,Yes,35060
,,35093,35060,"User moonance-1056 was moved from affiliate 35093 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",8/16/2023 8:16:51 PM,Partners,Yes,35060
,,2287,35060,"User moonance-1076 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",8/11/2023 12:46:33 PM,Partners,Yes,35060
,,2287,35060,"User moonance-1072 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",8/11/2023 12:46:02 PM,Partners,Yes,35060
,,2287,35060,"User moonance-1046 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",8/7/2023 4:36:38 PM,Partners,Yes,35060
,,2287,35060,"User moonance-943 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",7/28/2023 8:16:44 AM,Partners,Yes,35060
,,2287,35060,"User moonance-930 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",7/27/2023 9:25:26 AM,Partners,Yes,35060
,,2287,35093,"User moonance-861 was moved from affiliate 2287 to  affiliate 35093  With settings : Move media report stats , Move pre calculated commissions",7/25/2023 10:46:54 AM,Partners,Yes,35093
,,2287,35060,"User moonance-836 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",7/17/2023 7:28:34 AM,Partners,Yes,35060
,,35089,35091,"User moonance-789 was moved from affiliate 35089 to  affiliate 35091  With settings : Move media report stats , Move pre calculated commissions",7/10/2023 12:36:45 PM,Affiliates,Yes,35091
,,2287,35060,"User moonance-740 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",7/3/2023 2:27:14 PM,Partners,Yes,35060
,,2287,35060,User moonance-680 was moved from affiliate 2287 to  affiliate 35060,6/28/2023 1:28:01 PM,Partners,Yes,35060
,,2287,35060,User moonance-79 was moved from affiliate 2287 to  affiliate 35060,6/27/2023 3:06:24 PM,Partners,Yes,35060
,,2287,35060,User moonance-84 was moved from affiliate 2287 to  affiliate 35060,6/27/2023 3:04:21 PM,Partners,Yes,35060
,,2287,35060,User moonance-660 was moved from affiliate 2287 to  affiliate 35060,6/27/2023 9:16:26 AM,Partners,Yes,35060
,,2287,35060,User moonance-661 was moved from affiliate 2287 to  affiliate 35060,6/27/2023 9:16:13 AM,Partners,Yes,35060
,,2287,35060,User moonance-642 was moved from affiliate 2287 to  affiliate 35060,6/24/2023 11:13:44 AM,Partners,Yes,35060
,,2287,35060,User moonance-646 was moved from affiliate 2287 to  affiliate 35060,6/24/2023 11:13:04 AM,Partners,Yes,35060
,,2287,35060,User moonance-641 was moved from affiliate 2287 to  affiliate 35060,6/23/2023 11:53:59 AM,Partners,Yes,35060
,,2287,35060,User moonance-626 was moved from affiliate 2287 to  affiliate 35060,6/22/2023 9:58:24 AM,Partners,Yes,35060
,,2287,35060,User moonance-627 was moved from affiliate 2287 to  affiliate 35060,6/22/2023 9:58:12 AM,Partners,Yes,35060
,,2287,35060,User moonance-617 was moved from affiliate 2287 to  affiliate 35060,6/21/2023 8:22:18 AM,Partners,Yes,35060
,,2287,35060,User moonance-616 was moved from affiliate 2287 to  affiliate 35060,6/21/2023 8:22:04 AM,Partners,Yes,35060
,,2287,35060,User moonance-616 was moved from affiliate 2287 to  affiliate 35060,6/21/2023 8:22:03 AM,Partners,Yes,2287
,,2287,35060,User moonance-611 was moved from affiliate 2287 to  affiliate 35060,6/20/2023 12:43:28 PM,Partners,Yes,35060
,,2287,35060,User moonance-489 was moved from affiliate 2287 to  affiliate 35060,6/12/2023 3:03:52 PM,Partners,Yes,35060
,,2287,35060,User moonance-292 was moved from affiliate 2287 to  affiliate 35060,6/12/2023 3:03:26 PM,Partners,Yes,35060
,,2287,35060,User moonance-137 was moved from affiliate 2287 to  affiliate 35060,6/12/2023 3:03:12 PM,Partners,Yes,35060
,,2287,35060,User moonance-134 was moved from affiliate 2287 to  affiliate 35060,6/12/2023 3:02:49 PM,Partners,Yes,35060
,,2287,35060,User moonance-141 was moved from affiliate 2287 to  affiliate 35060,6/12/2023 2:59:41 PM,Partners,Yes,35060
,,2287,35060,User moonance-58 was moved from affiliate 2287 to  affiliate 35060,6/12/2023 2:59:15 PM,Partners,Yes,35060
,,2287,35060,User moonance-459 was moved from affiliate 2287 to  affiliate 35060,6/12/2023 2:58:58 PM,Partners,Yes,35060
