user_id,accounts_count,accounts,has_ftd,has_qftd
bullwaves-810131,1,3003965,0,0
bullwaves-810110,1,2001017,1,0
bullwaves-810105,1,3003964,1,0
bullwaves-810102,1,3003963,0,0
bullwaves-810098,1,3003962,0,0
bullwaves-810087,1,3003961,0,0
bullwaves-810090,1,2001016,1,0
bullwaves-810076,1,3003959,0,0
bullwaves-810078,1,"3003960,3004018,3004065",1,0
bullwaves-810044,1,3003957,1,0
bullwaves-810054,1,3003958,1,0
bullwaves-810005,1,3003955,1,0
bullwaves-810008,1,3003956,1,0
bullwaves-809997,1,2001015,0,0
bullwaves-809962,1,3003954,1,0
bullwaves-809930,1,3003953,0,0
bullwaves-809890,1,3003951,1,1
bullwaves-809864,1,3003950,0,0
bullwaves-809853,1,3003949,1,0
bullwaves-809825,1,3003947,1,0
bullwaves-809817,1,2001014,0,0
bullwaves-809844,1,3003948,0,0
bullwaves-809814,1,2001013,0,0
bullwaves-809804,1,3003946,0,0
bullwaves-809754,1,2001012,1,0
bullwaves-809773,1,3003945,0,0
bullwaves-809746,1,2001011,0,0
bullwaves-809750,1,3003944,0,0
bullwaves-809730,1,3003943,0,0
bullwaves-809726,1,3003942,0,0
bullwaves-809711,1,3003941,1,0
bullwaves-809687,1,3003940,0,0
bullwaves-809661,1,3003939,1,0
bullwaves-809614,1,3003938,0,0
bullwaves-809600,1,2001010,1,0
bullwaves-809606,1,3003937,0,0
bullwaves-809577,1,3003935,0,0
bullwaves-809588,1,3003936,0,0
bullwaves-809549,1,2001009,1,1
bullwaves-809525,1,2001008,1,0
bullwaves-809491,1,3003934,1,0
bullwaves-892,1,500187,0,0
bullwaves-901,1,500201,0,0
bullwaves-809489,1,2001007,0,0
bullwaves-945,1,500282,0,0
bullwaves-1790,1,500576,0,0
bullwaves-809467,1,3003933,1,0
bullwaves-809433,1,3003932,1,1
bullwaves-809419,1,3003931,1,0
bullwaves-809367,1,2001006,1,0
bullwaves-809332,1,"3003929,3003952",0,0
bullwaves-809334,1,3003930,0,0
bullwaves-809319,1,3003928,1,0
bullwaves-809315,1,3003927,1,0
bullwaves-809294,1,2001005,1,0
bullwaves-809251,1,2001004,0,0
bullwaves-809264,1,3003925,0,0
bullwaves-809272,1,3003926,0,0
bullwaves-809186,1,3003923,1,0
bullwaves-809167,1,3003922,0,0
bullwaves-809124,1,2001002,0,0
bullwaves-809085,1,3003921,1,0
bullwaves-809106,1,2001001,1,0
bullwaves-809011,1,3003920,1,0
bullwaves-808966,1,3003919,0,0
bullwaves-808973,1,2001000,0,0
bullwaves-808955,1,2000999,0,0
bullwaves-808903,1,2000998,1,0
bullwaves-808893,1,3003918,0,0
bullwaves-808871,1,,0,0
bullwaves-808861,1,3003917,0,0
bullwaves-808848,1,2000997,1,0
bullwaves-808828,1,3003916,0,0
bullwaves-808843,1,2000996,0,0
bullwaves-808791,1,3003913,0,0
bullwaves-808757,1,2000995,0,0
bullwaves-808739,1,2000993,0,0
bullwaves-808750,1,2000994,0,0
bullwaves-808697,1,2000990,1,0
bullwaves-808707,1,2000991,1,0
bullwaves-808714,1,2000992,1,0
bullwaves-808629,1,2000989,0,0
bullwaves-808637,1,3003911,0,0
bullwaves-808598,1,"3003910,3003914",1,0
bullwaves-808584,1,2000988,0,0
bullwaves-808564,1,2000987,0,0
bullwaves-808572,1,3003909,0,0
bullwaves-808566,1,3003908,0,0
bullwaves-808552,1,3003907,0,0
bullwaves-808500,1,2000986,1,0
bullwaves-808474,1,3003906,0,0
bullwaves-808449,1,2000985,1,0
bullwaves-808440,1,2000984,1,0
bullwaves-808413,1,2000982,1,0
bullwaves-808417,1,2000983,0,0
bullwaves-808409,1,3003905,1,0
bullwaves-808402,1,3003904,1,0
bullwaves-808381,1,3003903,1,0
bullwaves-808355,1,3003902,0,0
bullwaves-808290,1,3003901,1,0
bullwaves-808241,1,3003900,1,0
bullwaves-808209,1,3003899,0,0
bullwaves-808184,1,2000981,0,0
bullwaves-808156,1,3003897,1,0
bullwaves-808175,1,3003898,0,0
bullwaves-808121,1,3003896,1,0
bullwaves-808094,1,3003895,1,1
bullwaves-808073,1,3003894,1,0
bullwaves-808063,1,3003893,1,0
bullwaves-808054,1,2000980,0,0
bullwaves-808046,1,3003892,0,0
bullwaves-808037,1,3003891,0,0
bullwaves-808012,1,3003890,1,0
bullwaves-808003,1,3003889,0,0
bullwaves-807989,1,3003888,1,0
bullwaves-807940,1,3003887,0,0
bullwaves-807924,1,3003886,0,0
bullwaves-807912,1,3003885,0,0
bullwaves-807904,1,3003884,1,0
bullwaves-807883,1,3003883,1,0
bullwaves-807869,1,2000979,0,0
bullwaves-807861,1,3003882,0,0
bullwaves-807853,1,3003881,1,0
bullwaves-807849,1,3003880,0,0
bullwaves-807804,1,3003879,0,0
bullwaves-807808,1,2000978,0,0
bullwaves-807799,1,3003878,0,0
